,Country,ISO3,ISO2,ADMIN2_NAME,ADMIN2_CODE,Longitude,Latitude,Year,HK_examined,HK_positive,HK_prevalence,Asc_examined,Asc_positive,Asc_prevalence,TT_examined,TT_positive,TT_prevalence,STH_examined,STH_positive,STH_prevalence,Cum_Prevalence
239,Botswana,BWA,BW,Kweneng East,4300,25.8534263,-24.2438492,2015,43,0,0,43,0,0,43,0,0,43,0,0,0
240,Botswana,BWA,BW,Serowe Palapye,4294,25.93810736,-21.81574413,2015,50,0,0,50,3,0.06,50,0,0,50,3,0.06,0.06
241,Botswana,BWA,BW,Kweneng West,4301,25.27502,-24.18285667,2015,46,0,0,46,0,0,46,0,0,46,0,0,0
242,Botswana,BWA,BW,Tutume,4295,26.3656799,-20.0984406,2015,50,0,0,50,2,0.04,50,0,0,50,2,0.04,0.04
243,Botswana,BWA,BW,Kanye/Moshupa,4312,25.5936694,-24.771594,2015,48,0,0,48,0,0,48,0,0,48,0,0,0
244,Botswana,BWA,BW,Jwaneng,4311,24.6390715,-24.9117042,2015,47,2,0.042553191,47,0,0,47,0,0,47,2,0.042553191,0.042553191
245,Botswana,BWA,BW,Serowe Palapye,4294,27.1337926,-22.5490392,2015,49,6,0.12244898,49,0,0,49,0,0,49,6,0.12244898,0.12244898
246,Botswana,BWA,BW,North East,4303,27.4442033,-20.6167297,2015,34,0,0,34,0,0,34,0,0,34,0,0,0
247,Botswana,BWA,BW,Serowe Palapye,4294,27.1337926,-22.5490392,2015,48,1,0.020833333,48,3,0.0625,48,0,0,48,4,0.083333333,0.077387972
248,Botswana,BWA,BW,Kgalagadi South,4298,21.8894789,-26.657619,2015,50,0,0,50,0,0,50,0,0,50,0,0,0
249,Botswana,BWA,BW,Bobirwa,4290,27.75038833,-21.86496333,2015,18,0,0,18,0,0,18,0,0,18,0,0,0
250,Botswana,BWA,BW,Francistown,4302,27.41513167,-21.38349833,2015,49,1,0.020408163,49,4,0.081632653,49,0,0,49,5,0.102040816,0.094693249
251,Botswana,BWA,BW,Serowe Palapye,4294,26.4549824,-21.8895555,2015,49,8,0.163265306,49,7,0.142857143,49,0,0,49,14,0.285714286,0.266791353
252,Botswana,BWA,BW,South East,4309,25.7202076,-24.9835833,2015,49,0,0,49,0,0,49,0,0,49,0,0,0
253,Botswana,BWA,BW,Okavango,4306,22.0234758,-18.6176681,2015,52,15,0.288461538,52,4,0.076923077,52,0,0,52,17,0.326923077,0.323769119
254,Botswana,BWA,BW,Serowe Palapye,4294,26.4058039,-22.6312003,2015,50,0,0,50,8,0.16,50,0,0,50,8,0.16,0.16
255,Botswana,BWA,BW,Kanye/Moshupa,4312,25.354477,-24.982888,2015,53,0,0,53,0,0,53,0,0,53,0,0,0
256,Botswana,BWA,BW,Jwaneng,4311,24.59847,-24.76799333,2015,49,1,0.020408163,49,0,0,49,0,0,49,1,0.020408163,0.020408163
257,Botswana,BWA,BW,Francistown,4302,27.498005,-21.14786833,2015,16,0,0,16,0,0,16,0,0,16,0,0,0
258,Botswana,BWA,BW,Matsuane,4292,26.65976167,-23.68398,2015,46,4,0.086956522,46,0,0,46,0,0,NA,NA,0,0.086956522
259,Botswana,BWA,BW,Serowe Palapye,4294,27.1337926,-22.5490392,2015,48,2,0.041666667,48,0,0,48,0,0,48,2,0.041666667,0.041666667
